"I never thought Some csk fans in my list were this dumb :) PS : Applies only to " No Csk No IPL - CSK 1 - CSK 2 - RCB Lost  " Ppl","0","0"
"IPL 2016 will be remembered as Kohli's IPL.You may have lost the finals but have won millions of hearts! :) pic.twitter.com/bOMhpVVhRa","0","0"
"Haan bhai tu kuch bol raha tha :p btw congrats #rcb ipl jeetgayi @vishang3924","0","0"
"That's confidence :)!Batting first in bLr n Winning the Match like boss !!Great stuff @davidwarner31 !Congrats Srh ! #SRH #RCBvSRH #IPL","11.0168445","76.95583209999999"
"This was one of the best IPL finals. Good batting, bowling & a close finish. What a match! RCB needed a Dhoni to win. :p #RCBvSRH #IPLfinal","0","0"
"DMK might have lost the elections!! But they have won the IPL!! Sun Risers (Udhaysooriyargal) Hyderabad :P","0","0"
"#RCBvSRH Dhoni has - World Cup, World Cup T20, IPL trophy.. So does Yuvraj Now ! :)","0","0"
"RCB is the England of IPL! Eternal finalists. :-)","0","0"
"Happy that Yuvi has got an IPL cup to his name :) Well deserved for the champion player :)","0","0"
"49.99% people are happy for SRH. 49.98% people are sad for RCB. While 0.03% people are crying No Csk, No Ipl :D LOL #Fixers :D #RCBvSRH","0","0"
"@MarihaJabin individuals can't win a tournament :) this IPL proved it :)","0","0"
"Sunrise Hyderabad won Ipl Final.. Rcb Choked... :D HaaaaarCb :D Srh Deserves to b Ipl Champions..... Welldone Warner And Co.","0","0"
"இன்னும் ஒரு IPL .. பிறகு சிங்கம் என்ட்ரி :)))","0","0"
"No orange, no red, khatam IPL now get to your BED :P","0","0"
"Champion !! Champion !! #SRH Is IPL Champion !! Champion !! With Our Star 31 Jersey @davidwarner31 !! ;) :)pic.twitter.com/2eXd9kpobh","0","0"
"Played his first IPL, Won the final & everyone's heart B| Thats Fizz for you :) Final like a true final :D... http://fb.me/2z38AGc82 ","0","0"
"Though DMK (Rising Sun) lost the elections Sun Risers have managed to win the IPL :P #Lifeisacircle :D","0","0"
"Wow !!! What a great victory for SunRisers Hyderabad.Good to watch Mustafizur Rahman in IPL - Indian Premier League final match :)","0","0"
"Another disappointing season but they have never disappointed us in terms of entertainment & that's what IPL is all about. Thank you RCB :)","0","0"
"FROM almost getting out of the ipl TO reaching the finals! @RCBTweets proud of you boys :)","0","0"
"Congratulations to Sunrisers Hyderabad. Biryani treat for everyone in #IPL today. :P #RCBvSRH","0","0"
"Congratulations SRH...!! IPL trophy back to Sun TV headquarters in Chennai....:D http://fb.me/1bcD8M0Pv ","0","0"
"Hence #RCB are called "South Africa of IPL" over years & years :P #IPL2016","0","0"
"SHANE WARNE, ADAM GILCHRIST, DAVID WARNER :) #LEGENDS #IPL #CHAMPIONS #AUSSIES #RCBvSRH","0","0"
"Good to see Mustafizur win IPL trophy on his maiden stint. He made major contribution too. It has been a great learning curve for him :)","0","0"
""we have got our weather back, who needs IPL" :D #bangalorehttps://twitter.com/The_Kulk/status/736982783378083840 …","0","0"
"congratulations SRH for winning maiden IPL...And best chokers of ipl award goes to one and only team rcb :D :D","0","0"
